a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight
10,5,6,0.99165243,-2.895,-1.29353,4,427.314
7,4,4,1.0122766,-2.187,-0.78244001,2,306.211
15,10,10,1.0895827,-5.6430001,0.42469999,3,564.33002
14,9,9,1.0940763,-5.0700002,0.22216,3,534.30402
14,9,9,1.0726295,-4.6079998,-0.10505,3,548.33099
9,5,6,1.010438,-2.6919999,-0.22313,2,366.263
6,6,7,0.84838629,2.066,-1.54906,2,334.36798
10,3,6,0.99316353,-2.3199401,-1.4406199,3,375.27798
9,2,12,0.99793851,0.42199999,-4.3784399,3,599.33496
4,2,3,1.0520362,-0.156,-2.1582401,2,315.12299
5,3,3,0.95923859,-0.53600001,-1.37804,2,272.23199
7,1,14,0.93349016,1.49874,-3.6589501,3,484.418
7,2,10,0.94250101,0.28274,-2.6442101,3,412.35498
3,2,6,0.77024519,3.6229999,-3.2265,1,234.295
5,2,8,0.79042119,3.80074,-3.79898,2,342.39099
5,4,5,0.83003062,3.079,-2.4591,2,300.31
5,0,8,0.81214029,4.1350002,-7.3494,3,454.54398
7,4,22,0.79476869,4.8649998,-7.1380301,3,702.85297
5,4,6,0.84114993,0.12800001,-1.00267,1,270.32898
8,4,8,0.91125548,-1.54,-0.50796998,2,340.34
6,2,6,0.88010681,-0.33899999,-0.91305,2,280.28799
8,4,7,0.83804274,5.9320002,-7.40484,4,474.54099
4,3,4,1.121037,1.133,-4.9994602,6,662.09198
7,0,7,0.82658875,3.4554801,-4.3524499,5,456.491
7,1,6,0.86404949,1.53306,-4.3334198,4,417.40601
7,1,7,0.84780341,2.3250599,-5.40516,4,445.45999
7,1,6,0.91528147,0.97706002,-3.6805601,4,407.34198
7,1,6,0.92609978,1.41606,-4.1198702,4,423.797
7,1,6,0.99806607,1.6220599,-4.4759698,4,468.24799
7,1,6,0.91528147,1.01606,-3.6805601,4,407.34198
7,1,6,0.99806607,1.66106,-4.4759698,4,468.24799
7,1,6,0.94647783,1.12806,-3.9755399,4,425.332
7,1,6,0.94647783,1.16706,-3.9755399,4,425.332
7,1,6,0.94647783,1.16706,-3.9755399,4,425.332
7,1,6,0.94647783,1.12806,-3.9755399,4,425.332
7,1,6,0.94647783,1.24306,-3.9755399,4,425.332
7,1,6,0.96546304,2.0060599,-4.8541598,4,458.242
7,1,6,0.96546304,2.0450599,-4.8541598,4,458.242
7,1,6,0.96546304,2.0060599,-4.8541598,4,458.242
7,1,6,0.96546304,2.0450599,-4.8541598,4,458.242
7,1,6,0.96546304,2.1210599,-4.8541598,4,458.242
8,1,7,0.99572361,1.61506,-4.52635,4,498.27399
8,1,7,0.99572361,1.61506,-4.52635,4,498.27399
8,1,7,0.99572361,1.61506,-4.52635,4,498.27399
8,1,6,0.90115374,-0.40694001,-2.12744,4,390.34
7,1,6,0.92220998,-0.33893999,-2.98423,4,379.31299
7,1,6,0.93524396,0.47606,-3.03933,4,395.38
10,7,12,0.94088817,0.377,-3.4523301,3,475.439
10,7,9,0.94522119,-0.47,-2.3783901,4,481.40198
10,7,8,1.0352296,-2.234,-1.33913,3,437.37
11,7,8,1.0170702,-2.227,-1.45891,3,433.314
11,7,12,0.96028692,-0.45899999,-3.5197899,3,489.422
11,7,8,1.0563188,-2.7160001,-1.72644,3,451.353
11,7,9,1.038721,-2.628,-1.6083601,3,465.38
11,7,9,1.038721,-2.2030001,-2.0536499,3,465.38
11,7,10,1.0225782,-2.115,-1.93557,3,479.40698
11,7,8,1.025282,-1.864,-2.3706,4,487.38599
7,1,10,0.82008153,2.2578001,-3.7128501,3,537.80798
7,1,9,0.85910612,0.7288,-3.2648699,3,465.582
6,1,14,0.83886963,4.027,-6.4377098,5,586.70599
5,2,13,0.84357774,3.3640001,-5.8439898,4,530.64197
8,6,18,0.79654855,5.9190001,-10.46815,7,794.91296
